"country"|"iso2c"|"iso3c"|"year"|"status"|"lastupdated"|"gdp_per_cap"|"life_exp"|"pop"|"internet"|"region"|"capital"|"longitude"|"latitude"|"income"|"lending"
"Albania"|"AL"|"ALB"|2017|""|"2026-01-28"|5006.36012951959|78.9|2648285|62.4|"Europe & Central Asia"|"Tirane"|"19.8172"|"41.3317"|"Upper middle income"|"IBRD"
"Albania"|"AL"|"ALB"|2016|""|"2026-01-28"|4457.63412207495|78.643|2689469|59.6|"Europe & Central Asia"|"Tirane"|"19.8172"|"41.3317"|"Upper middle income"|"IBRD"
"Algeria"|"DZ"|"DZA"|2015|""|"2026-01-28"|4685.05902729002|75.159|40019529|38.2|"Middle East & North Africa"|"Algiers"|"3.05097"|"36.7397"|"Lower middle income"|"IBRD"
"Algeria"|"DZ"|"DZA"|2017|""|"2026-01-28"|4554.66753957828|75.431|41689299|47.6911|"Middle East & North Africa"|"Algiers"|"3.05097"|"36.7397"|"Lower middle income"|"IBRD"
"Algeria"|"DZ"|"DZA"|2018|""|"2026-01-28"|4577.21029180491|75.555|42505035|49.0385|"Middle East & North Africa"|"Algiers"|"3.05097"|"36.7397"|"Lower middle income"|"IBRD"
"Algeria"|"DZ"|"DZA"|2020|""|"2026-01-28"|3743.5419522929|73.257|44042091|63.4727|"Middle East & North Africa"|"Algiers"|"3.05097"|"36.7397"|"Lower middle income"|"IBRD"
"Algeria"|"DZ"|"DZA"|2016|""|"2026-01-28"|4424.98529027556|75.31|40850721|42.9455|"Middle East & North Africa"|"Algiers"|"3.05097"|"36.7397"|"Lower middle income"|"IBRD"
"Algeria"|"DZ"|"DZA"|2019|""|"2026-01-28"|4468.45341883656|75.682|43294546|55.7907|"Middle East & North Africa"|"Algiers"|"3.05097"|"36.7397"|"Lower middle income"|"IBRD"
"American Samoa"|"AS"|"ASM"|2020|""|"2026-01-28"|14489.2586563775|72.672|49761|NA|"East Asia & Pacific"|"Pago Pago"|"-170.691"|"-14.2846"|"Upper middle income"|"Not classified"
"American Samoa"|"AS"|"ASM"|2016|""|"2026-01-28"|12843.3342903627|72.64|52245|NA|"East Asia & Pacific"|"Pago Pago"|"-170.691"|"-14.2846"|"Upper middle income"|"Not classified"
"American Samoa"|"AS"|"ASM"|2019|""|"2026-01-28"|12886.1359517218|72.751|50209|NA|"East Asia & Pacific"|"Pago Pago"|"-170.691"|"-14.2846"|"Upper middle income"|"Not classified"
"American Samoa"|"AS"|"ASM"|2015|""|"2026-01-28"|12727.4102651386|72.654|52878|NA|"East Asia & Pacific"|"Pago Pago"|"-170.691"|"-14.2846"|"Upper middle income"|"Not classified"
"American Samoa"|"AS"|"ASM"|2017|""|"2026-01-28"|11863.6839452565|72.801|51586|NA|"East Asia & Pacific"|"Pago Pago"|"-170.691"|"-14.2846"|"Upper middle income"|"Not classified"
"American Samoa"|"AS"|"ASM"|2018|""|"2026-01-28"|12552.0546868861|72.794|50908|NA|"East Asia & Pacific"|"Pago Pago"|"-170.691"|"-14.2846"|"Upper middle income"|"Not classified"
"Andorra"|"AD"|"AND"|2016|""|"2026-01-28"|40129.8385811474|84.489|72181|89.7|"Europe & Central Asia"|"Andorra la Vella"|"1.5218"|"42.5075"|"High income"|"Not classified"
"Andorra"|"AD"|"AND"|2020|""|"2026-01-28"|37361.1070081615|79.418|77380|93.2056|"Europe & Central Asia"|"Andorra la Vella"|"1.5218"|"42.5075"|"High income"|"Not classified"
"Andorra"|"AD"|"AND"|2015|""|"2026-01-28"|38654.95287916|84.532|72174|87.9|"Europe & Central Asia"|"Andorra la Vella"|"1.5218"|"42.5075"|"High income"|"Not classified"
"Andorra"|"AD"|"AND"|2017|""|"2026-01-28"|40672.9717424447|84.359|73763|91.5675|"Europe & Central Asia"|"Andorra la Vella"|"1.5218"|"42.5075"|"High income"|"Not classified"
"Andorra"|"AD"|"AND"|2018|""|"2026-01-28"|42819.7577456133|84.242|75162|NA|"Europe & Central Asia"|"Andorra la Vella"|"1.5218"|"42.5075"|"High income"|"Not classified"
"Andorra"|"AD"|"AND"|2019|""|"2026-01-28"|41257.816459345|84.098|76474|90.7187|"Europe & Central Asia"|"Andorra la Vella"|"1.5218"|"42.5075"|"High income"|"Not classified"
"Angola"|"AO"|"AGO"|2019|""|"2026-01-28"|2493.67884440177|63.051|32375632|32.1294|"Sub-Saharan Africa"|"Luanda"|"13.242"|"-8.81155"|"Lower middle income"|"IBRD"
"Angola"|"AO"|"AGO"|2017|""|"2026-01-28"|2790.71886869768|62.122|30234839|26|"Sub-Saharan Africa"|"Luanda"|"13.242"|"-8.81155"|"Lower middle income"|"IBRD"
"Angola"|"AO"|"AGO"|2018|""|"2026-01-28"|2860.0936483682|62.622|31297155|29|"Sub-Saharan Africa"|"Luanda"|"13.242"|"-8.81155"|"Lower middle income"|"IBRD"
"Angola"|"AO"|"AGO"|2015|""|"2026-01-28"|3641.72893919944|61.042|28157798|22|"Sub-Saharan Africa"|"Luanda"|"13.242"|"-8.81155"|"Lower middle income"|"IBRD"
"Angola"|"AO"|"AGO"|2020|""|"2026-01-28"|1759.35619918264|63.116|33451132|36.6347|"Sub-Saharan Africa"|"Luanda"|"13.242"|"-8.81155"|"Lower middle income"|"IBRD"
"Angola"|"AO"|"AGO"|2016|""|"2026-01-28"|2051.81462126253|61.619|29183070|23.2|"Sub-Saharan Africa"|"Luanda"|"13.242"|"-8.81155"|"Lower middle income"|"IBRD"
"Antigua and Barbuda"|"AG"|"ATG"|2017|""|"2026-01-28"|16965.7288273816|77.03|90468|71.9621|"Latin America & Caribbean"|"Saint John's"|"-61.8456"|"17.1175"|"High income"|"IBRD"
"Antigua and Barbuda"|"AG"|"ATG"|2020|""|"2026-01-28"|15369.6082250401|77.161|91846|75.0089|"Latin America & Caribbean"|"Saint John's"|"-61.8456"|"17.1175"|"High income"|"IBRD"
"Antigua and Barbuda"|"AG"|"ATG"|2018|""|"2026-01-28"|18273.4270684912|77.132|90926|72.9637|"Latin America & Caribbean"|"Saint John's"|"-61.8456"|"17.1175"|"High income"|"IBRD"
"Antigua and Barbuda"|"AG"|"ATG"|2015|""|"2026-01-28"|16077.6340769406|76.892|89409|70|"Latin America & Caribbean"|"Saint John's"|"-61.8456"|"17.1175"|"High income"|"IBRD"
"Antigua and Barbuda"|"AG"|"ATG"|2016|""|"2026-01-28"|16556.8551801588|76.968|89969|70.9743|"Latin America & Caribbean"|"Saint John's"|"-61.8456"|"17.1175"|"High income"|"IBRD"
"Antigua and Barbuda"|"AG"|"ATG"|2019|""|"2026-01-28"|18896.3721832248|77.168|91364|73.9792|"Latin America & Caribbean"|"Saint John's"|"-61.8456"|"17.1175"|"High income"|"IBRD"
"Argentina"|"AR"|"ARG"|2018|""|"2026-01-28"|11752.7998922979|76.77|44654882|77.7|"Latin America & Caribbean"|"Buenos Aires"|"-58.4173"|"-34.6118"|"Upper middle income"|"IBRD"
"Argentina"|"AR"|"ARG"|2020|""|"2026-01-28"|8535.59938004389|75.878|45191965|85.5144|"Latin America & Caribbean"|"Buenos Aires"|"-58.4173"|"-34.6118"|"Upper middle income"|"IBRD"
"Argentina"|"AR"|"ARG"|2019|""|"2026-01-28"|9955.97478680428|76.847|44973465|79.947|"Latin America & Caribbean"|"Buenos Aires"|"-58.4173"|"-34.6118"|"Upper middle income"|"IBRD"
"Argentina"|"AR"|"ARG"|2017|""|"2026-01-28"|14532.5009308511|76.543|44288894|74.2949|"Latin America & Caribbean"|"Buenos Aires"|"-58.4173"|"-34.6118"|"Upper middle income"|"IBRD"
"Argentina"|"AR"|"ARG"|2016|""|"2026-01-28"|12699.9623137756|76.105|43900313|70.969|"Latin America & Caribbean"|"Buenos Aires"|"-58.4173"|"-34.6118"|"Upper middle income"|"IBRD"
"Argentina"|"AR"|"ARG"|2015|""|"2026-01-28"|13679.6264980954|76.6|43477012|68.0431|"Latin America & Caribbean"|"Buenos Aires"|"-58.4173"|"-34.6118"|"Upper middle income"|"IBRD"
"Armenia"|"AM"|"ARM"|2020|""|"2026-01-28"|4268.68093304583|73.3756097560976|2961500|76.5077|"Europe & Central Asia"|"Yerevan"|"44.509"|"40.1596"|"Upper middle income"|"IBRD"
"Armenia"|"AM"|"ARM"|2016|""|"2026-01-28"|3524.42476874707|74.8682926829268|2992300|64.346|"Europe & Central Asia"|"Yerevan"|"44.509"|"40.1596"|"Upper middle income"|"IBRD"
"Armenia"|"AM"|"ARM"|2018|""|"2026-01-28"|4196.00562301769|75.619512195122|2969000|68.2451|"Europe & Central Asia"|"Yerevan"|"44.509"|"40.1596"|"Upper middle income"|"IBRD"
"Armenia"|"AM"|"ARM"|2015|""|"2026-01-28"|3512.39350276709|74.8707317073171|3004600|59.1008|"Europe & Central Asia"|"Yerevan"|"44.509"|"40.1596"|"Upper middle income"|"IBRD"
"Armenia"|"AM"|"ARM"|2019|""|"2026-01-28"|4597.22887399548|76.2219512195122|2962500|66.5439|"Europe & Central Asia"|"Yerevan"|"44.509"|"40.1596"|"Upper middle income"|"IBRD"
"Armenia"|"AM"|"ARM"|2017|""|"2026-01-28"|3869.05373867752|75.2170731707317|2979400|64.7449|"Europe & Central Asia"|"Yerevan"|"44.509"|"40.1596"|"Upper middle income"|"IBRD"
"Aruba"|"AW"|"ABW"|2020|""|"2026-01-28"|22759.8071750722|75.406|108587|NA|"Latin America & Caribbean"|"Oranjestad"|"-70.0167"|"12.5167"|"High income"|"Not classified"
"Aruba"|"AW"|"ABW"|2019|""|"2026-01-28"|30645.8906024548|76.019|109203|NA|"Latin America & Caribbean"|"Oranjestad"|"-70.0167"|"12.5167"|"High income"|"Not classified"
"Aruba"|"AW"|"ABW"|2016|""|"2026-01-28"|27441.5502144601|75.54|108727|93.5425|"Latin America & Caribbean"|"Oranjestad"|"-70.0167"|"12.5167"|"High income"|"Not classified"
"Aruba"|"AW"|"ABW"|2015|""|"2026-01-28"|27458.2201537506|75.405|107906|88.6612|"Latin America & Caribbean"|"Oranjestad"|"-70.0167"|"12.5167"|"High income"|"Not classified"
"Aruba"|"AW"|"ABW"|2018|""|"2026-01-28"|30082.1584226798|75.88|108908|NA|"Latin America & Caribbean"|"Oranjestad"|"-70.0167"|"12.5167"|"High income"|"Not classified"
"Aruba"|"AW"|"ABW"|2017|""|"2026-01-28"|28440.0416881491|75.62|108735|97.17|"Latin America & Caribbean"|"Oranjestad"|"-70.0167"|"12.5167"|"High income"|"Not classified"
"Australia"|"AU"|"AUS"|2018|""|"2026-01-28"|57410.1737346009|82.7487804878049|24963258|90|"East Asia & Pacific"|"Canberra"|"149.129"|"-35.282"|"High income"|"Not classified"
"Australia"|"AU"|"AUS"|2016|""|"2026-01-28"|50084.4440606385|82.4487804878049|24190907|86.54|"East Asia & Pacific"|"Canberra"|"149.129"|"-35.282"|"High income"|"Not classified"
"Australia"|"AU"|"AUS"|2017|""|"2026-01-28"|54117.547718609|82.5|24592588|86.545|"East Asia & Pacific"|"Canberra"|"149.129"|"-35.282"|"High income"|"Not classified"
"Australia"|"AU"|"AUS"|2020|""|"2026-01-28"|51983.4523666382|83.2|25649248|94.6935|"East Asia & Pacific"|"Canberra"|"149.129"|"-35.282"|"High income"|"Not classified"
"Australia"|"AU"|"AUS"|2019|""|"2026-01-28"|55194.7585097428|82.9|25334826|93.6099|"East Asia & Pacific"|"Canberra"|"149.129"|"-35.282"|"High income"|"Not classified"
"Australia"|"AU"|"AUS"|2015|""|"2026-01-28"|56970.3613028094|82.4|23815995|84.5605|"East Asia & Pacific"|"Canberra"|"149.129"|"-35.282"|"High income"|"Not classified"
"Austria"|"AT"|"AUT"|2018|""|"2026-01-28"|51194.0749841299|81.6926829268293|8840521|87.4791|"Europe & Central Asia"|"Vienna"|"16.3798"|"48.2201"|"High income"|"Not classified"
"Austria"|"AT"|"AUT"|2017|""|"2026-01-28"|47163.7425775142|81.6439024390244|8797566|87.9356|"Europe & Central Asia"|"Vienna"|"16.3798"|"48.2201"|"High income"|"Not classified"
"Austria"|"AT"|"AUT"|2019|""|"2026-01-28"|49885.9947355204|81.8951219512195|8879920|87.7522|"Europe & Central Asia"|"Vienna"|"16.3798"|"48.2201"|"High income"|"Not classified"
"Austria"|"AT"|"AUT"|2016|""|"2026-01-28"|45061.4993920192|81.6414634146342|8736668|84.3237|"Europe & Central Asia"|"Vienna"|"16.3798"|"48.2201"|"High income"|"Not classified"
"Austria"|"AT"|"AUT"|2015|""|"2026-01-28"|43915.228020857|81.190243902439|8642699|83.9401|"Europe & Central Asia"|"Vienna"|"16.3798"|"48.2201"|"High income"|"Not classified"
"Austria"|"AT"|"AUT"|2020|""|"2026-01-28"|48716.4098900349|81.1926829268293|8916864|87.5294|"Europe & Central Asia"|"Vienna"|"16.3798"|"48.2201"|"High income"|"Not classified"
"Azerbaijan"|"AZ"|"AZE"|2015|""|"2026-01-28"|5500.50364628486|72.349|9649341|77|"Europe & Central Asia"|"Baku"|"49.8932"|"40.3834"|"Upper middle income"|"IBRD"
"Azerbaijan"|"AZ"|"AZE"|2018|""|"2026-01-28"|4739.7943123408|73.016|9939771|79.8|"Europe & Central Asia"|"Baku"|"49.8932"|"40.3834"|"Upper middle income"|"IBRD"
"Azerbaijan"|"AZ"|"AZE"|2017|""|"2026-01-28"|4147.1981423222|72.694|9854033|79|"Europe & Central Asia"|"Baku"|"49.8932"|"40.3834"|"Upper middle income"|"IBRD"
"Azerbaijan"|"AZ"|"AZE"|2016|""|"2026-01-28"|3880.6852276838|72.568|9757812|78.2|"Europe & Central Asia"|"Baku"|"49.8932"|"40.3834"|"Upper middle income"|"IBRD"
"Azerbaijan"|"AZ"|"AZE"|2020|""|"2026-01-28"|4229.91064904503|70.312|10093121|84.6|"Europe & Central Asia"|"Baku"|"49.8932"|"40.3834"|"Upper middle income"|"IBRD"
"Azerbaijan"|"AZ"|"AZE"|2019|""|"2026-01-28"|4805.75371765917|73.29|10024283|81.1|"Europe & Central Asia"|"Baku"|"49.8932"|"40.3834"|"Upper middle income"|"IBRD"
"Bahamas, The"|"BS"|"BHS"|2017|""|"2026-01-28"|31875.4881749619|74.031|390485|80.6|"Latin America & Caribbean"|"Nassau"|"-77.339"|"25.0661"|"High income"|"Not classified"
"Bahamas, The"|"BS"|"BHS"|2020|""|"2026-01-28"|26178.7537607708|72.994|395863|92.4437|"Latin America & Caribbean"|"Nassau"|"-77.339"|"25.0661"|"High income"|"Not classified"
"Bahamas, The"|"BS"|"BHS"|2016|""|"2026-01-28"|30616.5363157284|74.042|388055|80|"Latin America & Caribbean"|"Nassau"|"-77.339"|"25.0661"|"High income"|"Not classified"
"Bahamas, The"|"BS"|"BHS"|2019|""|"2026-01-28"|33640.3369861278|71.408|394675|90.6933|"Latin America & Caribbean"|"Nassau"|"-77.339"|"25.0661"|"High income"|"Not classified"
"Bahamas, The"|"BS"|"BHS"|2018|""|"2026-01-28"|32642.3353203452|74.062|392717|83|"Latin America & Caribbean"|"Nassau"|"-77.339"|"25.0661"|"High income"|"Not classified"
"Bahamas, The"|"BS"|"BHS"|2015|""|"2026-01-28"|30719.405417469|73.805|385346|78|"Latin America & Caribbean"|"Nassau"|"-77.339"|"25.0661"|"High income"|"Not classified"
"Bahrain"|"BH"|"BHR"|2018|""|"2026-01-28"|26324.4066549559|80.412|1503091|98.6447|"Middle East & North Africa"|"Manama"|"50.5354"|"26.1921"|"High income"|"Not classified"
"Bahrain"|"BH"|"BHR"|2016|""|"2026-01-28"|23800.001440631|80.407|1423726|98|"Middle East & North Africa"|"Manama"|"50.5354"|"26.1921"|"High income"|"Not classified"
"Bahrain"|"BH"|"BHR"|2019|""|"2026-01-28"|27259.7438599327|80.471|1483756|99.7015|"Middle East & North Africa"|"Manama"|"50.5354"|"26.1921"|"High income"|"Not classified"
"Bahrain"|"BH"|"BHR"|2020|""|"2026-01-28"|24342.8444554718|78.683|1472204|99.671|"Middle East & North Africa"|"Manama"|"50.5354"|"26.1921"|"High income"|"Not classified"
"Bahrain"|"BH"|"BHR"|2015|""|"2026-01-28"|23734.0551143019|80.338|1370322|93.4783|"Middle East & North Africa"|"Manama"|"50.5354"|"26.1921"|"High income"|"Not classified"
"Bahrain"|"BH"|"BHR"|2017|""|"2026-01-28"|24784.7693514607|80.407|1501116|95.8781|"Middle East & North Africa"|"Manama"|"50.5354"|"26.1921"|"High income"|"Not classified"
"Bangladesh"|"BD"|"BGD"|2019|""|"2026-01-28"|2129.79896954606|72.625|164913055|30.4|"South Asia"|"Dhaka"|"90.4113"|"23.7055"|"Lower middle income"|"IDA"
"Bangladesh"|"BD"|"BGD"|2015|""|"2026-01-28"|1224.38647668165|70.543|159383179|12.9|"South Asia"|"Dhaka"|"90.4113"|"23.7055"|"Lower middle income"|"IDA"
"Bangladesh"|"BD"|"BGD"|2018|""|"2026-01-28"|1965.24372731467|72.122|163523103|25.6|"South Asia"|"Dhaka"|"90.4113"|"23.7055"|"Lower middle income"|"IDA"
"Bangladesh"|"BD"|"BGD"|2020|""|"2026-01-28"|2248.85078828233|71.421|166298024|36.1091|"South Asia"|"Dhaka"|"90.4113"|"23.7055"|"Lower middle income"|"IDA"
"Bangladesh"|"BD"|"BGD"|2017|""|"2026-01-28"|1811.08221668646|71.606|162186147|21.5|"South Asia"|"Dhaka"|"90.4113"|"23.7055"|"Lower middle income"|"IDA"
"Bangladesh"|"BD"|"BGD"|2016|""|"2026-01-28"|1649.28380858601|71.075|160811932|18.1|"South Asia"|"Dhaka"|"90.4113"|"23.7055"|"Lower middle income"|"IDA"
"Barbados"|"BB"|"BRB"|2018|""|"2026-01-28"|21381.2426303209|76.378|280711|72.4|"Latin America & Caribbean"|"Bridgetown"|"-59.6105"|"13.0935"|"High income"|"Not classified"
"Barbados"|"BB"|"BRB"|2015|""|"2026-01-28"|20424.2087530019|76.055|278990|72|"Latin America & Caribbean"|"Bridgetown"|"-59.6105"|"13.0935"|"High income"|"Not classified"
"Barbados"|"BB"|"BRB"|2019|""|"2026-01-28"|21912.1501242857|76.495|281207|74.1791|"Latin America & Caribbean"|"Bridgetown"|"-59.6105"|"13.0935"|"High income"|"Not classified"
"Barbados"|"BB"|"BRB"|2016|""|"2026-01-28"|20295.5672072046|76.168|279598|72.2|"Latin America & Caribbean"|"Bridgetown"|"-59.6105"|"13.0935"|"High income"|"Not classified"
"Barbados"|"BB"|"BRB"|2020|""|"2026-01-28"|19194.4919736739|76.647|281698|76.002|"Latin America & Caribbean"|"Bridgetown"|"-59.6105"|"13.0935"|"High income"|"Not classified"
"Barbados"|"BB"|"BRB"|2017|""|"2026-01-28"|20284.5762052461|76.237|280171|72.3|"Latin America & Caribbean"|"Bridgetown"|"-59.6105"|"13.0935"|"High income"|"Not classified"
"Belarus"|"BY"|"BLR"|2018|""|"2026-01-28"|6360.037502312|74.1756097560976|9438785|79.1299|"Europe & Central Asia"|"Minsk"|"27.5766"|"53.9678"|"Upper middle income"|"IBRD"
"Belarus"|"BY"|"BLR"|2016|""|"2026-01-28"|5039.77560949445|73.8268292682927|9469379|71.113|"Europe & Central Asia"|"Minsk"|"27.5766"|"53.9678"|"Upper middle income"|"IBRD"
"Belarus"|"BY"|"BLR"|2019|""|"2026-01-28"|6837.77339645635|74.2268292682927|9419758|82.7892|"Europe & Central Asia"|"Minsk"|"27.5766"|"53.9678"|"Upper middle income"|"IBRD"
"Belarus"|"BY"|"BLR"|2017|""|"2026-01-28"|5785.54491935194|74.1292682926829|9458989|74.4364|"Europe & Central Asia"|"Minsk"|"27.5766"|"53.9678"|"Upper middle income"|"IBRD"
"Belarus"|"BY"|"BLR"|2020|""|"2026-01-28"|6542.85579976768|72.1385609756098|9379952|85.0879|"Europe & Central Asia"|"Minsk"|"27.5766"|"53.9678"|"Upper middle income"|"IBRD"
"Belarus"|"BY"|"BLR"|2015|""|"2026-01-28"|5967.05595058777|73.6243902439025|9461076|62.2304|"Europe & Central Asia"|"Minsk"|"27.5766"|"53.9678"|"Upper middle income"|"IBRD"
"Belgium"|"BE"|"BEL"|2015|""|"2026-01-28"|40893.804537772|80.9926829268293|11274196|85.0529|"Europe & Central Asia"|"Brussels"|"4.36761"|"50.8371"|"High income"|"Not classified"
"Belgium"|"BE"|"BEL"|2016|""|"2026-01-28"|41854.5498296444|81.4390243902439|11331422|86.5165|"Europe & Central Asia"|"Brussels"|"4.36761"|"50.8371"|"High income"|"Not classified"
"Belgium"|"BE"|"BEL"|2020|""|"2026-01-28"|45906.2875805246|80.6951219512195|11538604|91.5264|"Europe & Central Asia"|"Brussels"|"4.36761"|"50.8371"|"High income"|"Not classified"
"Belgium"|"BE"|"BEL"|2017|""|"2026-01-28"|44035.3239358548|81.4926829268293|11375158|87.6797|"Europe & Central Asia"|"Brussels"|"4.36761"|"50.8371"|"High income"|"Not classified"
"Belgium"|"BE"|"BEL"|2018|""|"2026-01-28"|47487.2100392561|81.5951219512195|11427054|88.6473|"Europe & Central Asia"|"Brussels"|"4.36761"|"50.8371"|"High income"|"Not classified"
"Belgium"|"BE"|"BEL"|2019|""|"2026-01-28"|46716.6227467964|81.9951219512195|11488980|90.2754|"Europe & Central Asia"|"Brussels"|"4.36761"|"50.8371"|"High income"|"Not classified"
"Belize"|"BZ"|"BLZ"|2017|""|"2026-01-28"|6071.85451846453|72.062|373202|48.8771|"Latin America & Caribbean"|"Belmopan"|"-88.7713"|"17.2534"|"Upper middle income"|"IBRD"
"Belize"|"BZ"|"BLZ"|2018|""|"2026-01-28"|6011.99036888587|72.322|380226|53.5936|"Latin America & Caribbean"|"Belmopan"|"-88.7713"|"17.2534"|"Upper middle income"|"IBRD"
"Belize"|"BZ"|"BLZ"|2020|""|"2026-01-28"|5238.54078175696|71.58|390812|64.4359|"Latin America & Caribbean"|"Belmopan"|"-88.7713"|"17.2534"|"Upper middle income"|"IBRD"
"Belize"|"BZ"|"BLZ"|2019|""|"2026-01-28"|6171.61449761423|72.577|385829|58.7652|"Latin America & Caribbean"|"Belmopan"|"-88.7713"|"17.2534"|"Upper middle income"|"IBRD"
"Belize"|"BZ"|"BLZ"|2015|""|"2026-01-28"|6154.62264230369|71.647|356333|41.59|"Latin America & Caribbean"|"Belmopan"|"-88.7713"|"17.2534"|"Upper middle income"|"IBRD"
"Belize"|"BZ"|"BLZ"|2016|""|"2026-01-28"|6140.86713919469|71.843|364705|44.5757|"Latin America & Caribbean"|"Belmopan"|"-88.7713"|"17.2534"|"Upper middle income"|"IBRD"
"Benin"|"BJ"|"BEN"|2019|""|"2026-01-28"|1130.82135339795|59.888|12726755|20.5|"Sub-Saharan Africa"|"Porto-Novo"|"2.6323"|"6.4779"|"Lower middle income"|"IDA"
"Benin"|"BJ"|"BEN"|2016|""|"2026-01-28"|1010.5338961993|59.283|11697842|14.5|"Sub-Saharan Africa"|"Porto-Novo"|"2.6323"|"6.4779"|"Lower middle income"|"IDA"
"Benin"|"BJ"|"BEN"|2017|""|"2026-01-28"|1054.97408066814|59.528|12039780|18.7|"Sub-Saharan Africa"|"Porto-Novo"|"2.6323"|"6.4779"|"Lower middle income"|"IDA"
"Benin"|"BJ"|"BEN"|2018|""|"2026-01-28"|1151.7409703472|59.71|12383347|19|"Sub-Saharan Africa"|"Porto-Novo"|"2.6323"|"6.4779"|"Lower middle income"|"IDA"
"Benin"|"BJ"|"BEN"|2015|""|"2026-01-28"|1002.41886879614|59.123|11360681|11.255|"Sub-Saharan Africa"|"Porto-Novo"|"2.6323"|"6.4779"|"Lower middle income"|"IDA"
"Benin"|"BJ"|"BEN"|2020|""|"2026-01-28"|1200.19426557789|60.154|13070169|22.1206|"Sub-Saharan Africa"|"Porto-Novo"|"2.6323"|"6.4779"|"Lower middle income"|"IDA"
"Bermuda"|"BM"|"BMU"|2015|""|"2026-01-28"|104855.366822135|80.338|63464|98.3236|"North America"|"Hamilton"|"-64.706"|"32.3293"|"High income"|"Not classified"
"Bermuda"|"BM"|"BMU"|2017|""|"2026-01-28"|112339.425587467|80.686|63578|98.37|"North America"|"Hamilton"|"-64.706"|"32.3293"|"High income"|"Not classified"
"Bermuda"|"BM"|"BMU"|2019|""|"2026-01-28"|115798.040775578|81.251|64107|NA|"North America"|"Hamilton"|"-64.706"|"32.3293"|"High income"|"Not classified"
"Bermuda"|"BM"|"BMU"|2018|""|"2026-01-28"|113204.82210838|80.986|63831|NA|"North America"|"Hamilton"|"-64.706"|"32.3293"|"High income"|"Not classified"
"Bermuda"|"BM"|"BMU"|2016|""|"2026-01-28"|108747.356144305|80.476|63449|98|"North America"|"Hamilton"|"-64.706"|"32.3293"|"High income"|"Not classified"
"Bermuda"|"BM"|"BMU"|2020|""|"2026-01-28"|106976.546239632|81.456|64382|NA|"North America"|"Hamilton"|"-64.706"|"32.3293"|"High income"|"Not classified"
"Bhutan"|"BT"|"BTN"|2017|""|"2026-01-28"|3435.28804735662|71.413|754335|54.3|"South Asia"|"Thimphu"|"89.6177"|"27.5768"|"Lower middle income"|"IDA"
"Bhutan"|"BT"|"BTN"|2020|""|"2026-01-28"|3191.66906999331|72.253|770006|76.8508|"South Asia"|"Thimphu"|"89.6177"|"27.5768"|"Lower middle income"|"IDA"
"Bhutan"|"BT"|"BTN"|2016|""|"2026-01-28"|3152.30905106786|71.119|747866|46.5|"South Asia"|"Thimphu"|"89.6177"|"27.5768"|"Lower middle income"|"IDA"
"Bhutan"|"BT"|"BTN"|2015|""|"2026-01-28"|2954.04081911097|70.797|740618|39.8|"South Asia"|"Thimphu"|"89.6177"|"27.5768"|"Lower middle income"|"IDA"
"Bhutan"|"BT"|"BTN"|2018|""|"2026-01-28"|3400.20417245342|71.711|759759|63.5|"South Asia"|"Thimphu"|"89.6177"|"27.5768"|"Lower middle income"|"IDA"
